,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
1892,10001-50000,1001-5000,4.2,danfoss-industries,Private,Danfoss Industries,241,1161,8,29,Danfoss Industries,danfoss-industries,Denmark,"Nordborg,Als",45,,202575,14,"Manufacturing,Engineering & Construction",0
1893,5001-10000,,4.01,writer-safe-guard,Private,Writer Safe Guard,241,677,8,21,Writer Safe Guard,writer-safe-guard,India,"Mumbai,Maharashtra",0,mumbai,246649,53,"BPO/KPO,Courier / Logistics,IT Services & Consulting",0
1894,,,3.66,ifb-industries,,IFB Industries,241,1642,8,0,IFB Industries,ifb-industries,,,1,,5082,54,,0
1895,1001-5000,201-500,4.36,kirloskar-toyota-textile-machinery,Private,Kirloskar Toyota Textile Machinery,241,449,4,27,Kirloskar Toyota Textile Machinery,kirloskar-toyota-textile-machinery,India,"Bangalore/Bengaluru,Karnataka",0,bengaluru,34385,5,"Industrial Equipment / Machinery,Textile & Apparel",0
1896,1001-5000,201-500,4.1,ben-franklin-opticians,Private,Ben Franklin Opticians,241,616,9,14,Ben Franklin Opticians,ben-franklin-opticians,India,"Hyderabad/Secunderabad,Telangana",6,hyderabad,325955,73,Medical Devices & Equipment,0
1897,10001-50000,,4.07,vizag-steel,Public,Vizag Steel Plant,241,769,7,51,Vizag Steel,vizag_steel,India,"Visakhapatnam/Vizag,Andhra Pradesh",0,visakhapatnam,682,14,"Iron & Steel,Industrial Equipment / Machinery",0
1898,5001-10000,10001-50000,4.24,zoho,Private,Zoho,241,2497,73,26,Zoho,zoho,India,Chennai,3,chennai,2303,9,"Internet,IT Services & Consulting,Software Product",0
1899,1001-5000,,4.19,vatika-group,Private,Vatika Group,241,856,7,36,Vatika Group,vatika-group,India,Gurgaon,0,gurgaon,213440,10,"Real Estate,Hotels & Restaurants",0
1900,501-1000,1001-5000,3.89,shriram-housing-finance,Public,Shriram Housing Finance,241,897,11,12,Shriram Housing Finance,shriram-housing-finance,India,"Mumbai,Maharashtra",6,mumbai,14704,76,Financial Services,0
1901,1001-5000,1001-5000,3.7199999999999998,matrix-business-services,Private,Matrix Business Services,241,914,4,19,Matrix Business Services,matrix-business-services,India,"Chennai,Tamil Nadu",2,chennai,215953,20,"Financial Services,Analytics / KPO / Research",0
1902,201-500,51-200,3.52,escon-elevators,Private,Escon Elevators,240,603,4,32,Escon Elevators,escon-elevators,India,"Navi Mumbai,Maharashtra",5,navi-mumbai,164693,12,"Industrial Equipment / Machinery,Manufacturing,Engineering & Construction",0
1903,1001-5000,201-500,3.85,ensure-support-services,Private,Ensure Support Services,240,784,2,9,Ensure Support Services,ensure-support-services,India,"Chennai,Tamil Nadu",0,chennai,225442,41,IT Services & Consulting,0
1904,1001-5000,201-500,4.4,ge-t-and-d-india,Public,ge t & d india ltd,240,999,1,65,Ge T & D India,ge-t-and-d-india,United States (USA),"Henderson,Nevada",0,,293563,22,"Power,Engineering & Construction,Oil & Gas",0
